Model,accuracy_t_test_p,accuracy_t_test_significant,accuracy_wilcoxon_p,accuracy_wilcoxon_significant,accuracy_effect_size,f1_t_test_p,f1_t_test_significant,f1_wilcoxon_p,f1_wilcoxon_significant,f1_effect_size,sex_demographic_parity_diff_p,sex_demographic_parity_diff_significant,sex_demographic_parity_diff_improvement,sex_equalized_odds_diff_p,sex_equalized_odds_diff_significant,sex_equalized_odds_diff_improvement,sex_equal_opportunity_diff_p,sex_equal_opportunity_diff_significant,sex_equal_opportunity_diff_improvement,race_demographic_parity_diff_p,race_demographic_parity_diff_significant,race_demographic_parity_diff_improvement,race_equalized_odds_diff_p,race_equalized_odds_diff_significant,race_equalized_odds_diff_improvement,race_equal_opportunity_diff_p,race_equal_opportunity_diff_significant,race_equal_opportunity_diff_improvement
Fairlearn DP (Sex),6.784438492927254e-07,True,0.0625,False,-0.03175487465181048,5.610130328208746e-07,True,0.0625,False,-0.2871164032996479,3.7766200893200875e-05,True,0.050164182142601224,2.911039442332532e-05,True,-0.10748139435064488,2.911039442332532e-05,True,-0.10748139435064488,0.0035333871858710124,True,-0.07068572688879551,0.1074984027464372,False,-0.15787660075373638,0.1074984027464372,False,-0.15787660075373638
Fairlearn EG (Sex),1.9529417880145808e-06,True,0.0625,False,-0.03334261838440111,4.880138541808106e-07,True,0.0625,False,-0.3000807445461998,0.007813218940989023,True,-0.010346474128741179,3.314279677561179e-05,True,0.11202675978073495,9.79209558890215e-05,True,0.12034580040089403,0.0001184240000328331,True,-0.08693038860447702,0.0042750047404360135,True,-0.20860094618212394,0.0042750047404360135,True,-0.20860094618212394
Preprocessing (Sex),2.096051705951519e-06,True,0.0625,False,-0.03701949860724241,1.2069628372096089e-07,True,0.0625,False,-0.32818334294430057,0.0010129555167013825,True,0.012524974566244136,0.06716830369650519,False,-0.02861099848598264,0.06716830369650519,False,-0.02861099848598264,0.0006997004717588546,True,-0.10826244821861067,0.038838393828565534,True,-0.20727683551018722,0.038838393828565534,True,-0.20727683551018722
Preprocessing (Race),5.710470792434574e-06,True,0.0625,False,-0.04083565459610028,5.147661322681896e-07,True,0.0625,False,-0.3342663707408025,9.227775962986869e-06,True,-0.07678890274032285,0.5855093666151037,False,0.008651739615098686,0.5855093666151037,False,0.008651739615098686,0.00017554232838826674,True,-0.17448665364185836,0.0006191973950545845,True,-0.4149878629841676,0.0006191973950545845,True,-0.4149878629841676
