model_name,accuracy,f1,sex_dp_diff,sex_eo_diff
Ablation: PreOnly(Sex),0.8240864527629234,0.5196227563127472,0.04604633996281923,0.24813600798795266
Ablation: InOnly(FairlearnEG),0.8228609625668449,0.5043640897755611,0.06957059819502888,0.08782451057421592
"Ablation: PostOnly(EO, Sex)",0.7864304812834224,0.32618629173989455,0.0323364367946031,0.023065622340077252
