fold,accuracy,f1,attr,dp_diff,eo_diff,eopp_diff
0,0.8263231197771588,0.5104043973301924,race,0.20725388601036268,0.5652173913043478,0.5652173913043478
1,0.8316155988857938,0.5308498253783469,race,0.21390374331550802,0.6304347826086957,0.6304347826086957
2,0.8270194986072423,0.5252293577981652,race,0.27587605451005837,0.4413118527042577,0.4413118527042577
3,0.8266016713091922,0.523171198774416,race,0.19859752959341226,0.6363636363636364,0.6363636363636364
4,0.8238161559888579,0.5344129554655871,race,0.2523809523809524,0.48469387755102045,0.48469387755102045
0,0.8263231197771588,0.5104043973301924,race,0.20725388601036268,0.5652173913043478,0.5652173913043478
1,0.8316155988857938,0.5308498253783469,race,0.21390374331550802,0.6304347826086957,0.6304347826086957
2,0.8270194986072423,0.5252293577981652,race,0.27587605451005837,0.4413118527042577,0.4413118527042577
3,0.8266016713091922,0.523171198774416,race,0.19859752959341226,0.6363636363636364,0.6363636363636364
4,0.8238161559888579,0.5344129554655871,race,0.2523809523809524,0.48469387755102045,0.48469387755102045
0,0.8263231197771588,0.5104043973301924,race,0.20725388601036268,0.5652173913043478,0.5652173913043478
1,0.8316155988857938,0.5308498253783469,race,0.21390374331550802,0.6304347826086957,0.6304347826086957
2,0.8270194986072423,0.5252293577981652,race,0.27587605451005837,0.4413118527042577,0.4413118527042577
3,0.8266016713091922,0.523171198774416,race,0.19859752959341226,0.6363636363636364,0.6363636363636364
4,0.8238161559888579,0.5344129554655871,race,0.2523809523809524,0.48469387755102045,0.48469387755102045
