Model,Accuracy,AUC,Sex_DP_Diff,Sex_EO_Diff
Post-processing EO (Sex),0.7864304812834224,0.5138801705106998,0.0323364367946031,0.023065622340077252
CCF (Sex),0.7907754010695187,0.8305583609296876,0.04985129521444088,0.07061276435539841
Baseline (Tuned),0.7935606060606061,0.8309342670515204,0.09597575349385419,0.20683559222156747
